All Time Rank,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,AirPlay Spins,Deezer Playlist Reach,Pandora Streams,Pandora Track Stations,Shazam Counts,Spotify Streams is NaN,Spotify Playlist Count is NaN,Spotify Playlist Reach is NaN,YouTube Views is NaN,YouTube Likes is NaN,TikTok Posts is NaN,TikTok Likes is NaN,TikTok Views is NaN,YouTube Playlist Reach is NaN,AirPlay Spins is NaN,Deezer Playlist Reach is NaN,Pandora Streams is NaN,Pandora Track Stations is NaN,Shazam Counts is NaN,Track Score,Spotify Popularity,Apple Music Playlist Count,Deezer Playlist Count,Amazon Playlist Count,Spotify Popularity is NaN,Apple Music Playlist Count is NaN,Deezer Playlist Count is NaN,Amazon Playlist Count is NaN
1456,1610423351.0,283537.0,75314202.0,345975070.0,4492100.0,265876.0,153478678.0,832654007.0,21871961.0,5055.0,714087.0,13113654.0,43422.0,3197618.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.4,84.0,99.0,57.0,32.0,0,0,0,0
1460,447387314.7459327,59390.8298013245,23346816.055212013,602334197.0,1211320.0,944307.6200758681,112637464.57127072,1161157789.8336556,343960146.3082707,1.0,1294938.737745098,85667349.25558099,87876.96578631453,2529148.692766592,1,1,1,0,0,1,1,1,1,0,1,1,1,1,38.4,63.50158061116965,54.603119584055456,32.31095406360424,25.348942172073343,1,1,1,1
1457,784096553.0,80071.0,22684253.0,979304024.0,4295929.0,78500.0,8119129.0,98951834.0,153169651.0,7211.0,63513.0,100876561.0,12268.0,1503816.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.4,77.0,31.0,8.0,11.0,0,0,0,0
1459,811545581.0,1.0,65.0,402796728.9801957,2930048.625204201,944307.6200758681,112637464.57127072,1161157789.8336556,343960146.3082707,55139.15675280351,1294938.737745098,85667349.25558099,87876.96578631453,2529148.692766592,0,0,0,1,1,1,1,1,1,1,1,1,1,1,38.4,63.50158061116965,54.603119584055456,32.31095406360424,25.348942172073343,1,1,1,1
1455,84030576.0,4988.0,9741006.0,107773139.0,1537321.0,944307.6200758681,112637464.57127072,1161157789.8336556,236248537.0,175.0,6948.0,31686.0,27.0,205897.0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,38.4,71.0,14.0,2.0,11.0,0,0,0,0
1461,736983718.0,92256.0,38659924.0,97778011.0,619019.0,343800.0,74611902.0,559279404.0,343960146.3082707,20516.0,10512345.0,2465152.0,1503.0,1849683.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,38.4,76.0,42.0,21.0,36.0,0,0,0,0
1462,763384135.0,200270.0,32837352.0,182844852.0,1503848.0,1215.0,958715.0,5371997.0,358952.0,146.0,174131.0,80929321.0,36854.0,1880744.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.3,72.0,61.0,25.0,10.0,0,0,0,0
1466,128049237.0,42334.0,16862073.0,66669093.0,735494.0,88738.0,19391143.0,184180412.0,334108232.0,15193.0,5942.0,16468902.0,11354.0,847635.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.3,68.0,25.0,1.0,16.0,0,0,0,0
1465,207857363.0,14268.0,6924859.0,202184485.0,3376954.0,237706.0,290304541.0,1571240092.0,84759058.0,1339.0,41620.0,1530163.0,2801.0,452274.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.3,70.0,20.0,4.0,32.0,0,0,0,0
1463,17756452.0,8421.0,1500039.0,1602919.0,27727.0,4400171.0,260882262.0,5068567775.0,343960146.3082707,267.0,1294938.737745098,29804.0,87876.96578631453,186114.0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,38.3,48.0,1.0,32.31095406360424,25.348942172073343,0,0,1,1
1464,245406516.0,75951.0,9524862.0,53569545.0,636003.0,40000.0,11956224.0,85005540.0,285531054.0,4801.0,48742.0,2858516.0,4884.0,358116.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.3,60.0,12.0,8.0,3.0,0,0,0,0
1467,613961293.0,57564.0,22110798.0,2008509134.0,5299342.0,291135.0,59964525.0,416104248.0,333494165.0,13945.0,223157.0,54891883.0,22841.0,4173066.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.2,66.0,70.0,48.0,53.0,0,0,0,0
1473,159051363.0,31456.0,22058380.0,36559555.0,374415.0,322832.0,13209435.0,214685378.0,8110915.0,181938.0,289676.0,482317.0,425.0,1293372.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.2,62.0,62.0,26.0,14.0,0,0,0,0
1470,432315500.0,95756.0,16692750.0,161619855.0,1879161.0,5017600.0,146241546.0,1119929038.0,6676480.0,44945.0,9718.0,85830613.0,38488.0,1172142.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.2,59.0,38.0,11.0,25.348942172073343,0,0,0,1
1475,781790448.0,135134.0,33420257.0,426579083.0,3923819.0,174375.0,21153140.0,186021426.0,249351279.0,33993.0,200973.0,557775859.0,813986.0,2529148.692766592,0,0,0,0,0,0,0,0,0,0,0,0,0,1,38.2,67.0,80.0,28.0,20.0,0,0,0,0
1474,142131977.0,47009.0,7163568.0,81587375.0,506426.0,137704.0,28652947.0,274170598.0,343960146.3082707,2627.0,708924.0,1115.0,9.0,1158542.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,38.2,69.0,10.0,8.0,11.0,0,0,0,0
1468,137071285.0,47247.0,5437356.0,16951175.0,234706.0,2104.0,740328.0,5731192.0,343960146.3082707,360.0,130827.0,322160.0,629.0,105824.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,38.2,68.0,9.0,7.0,10.0,0,0,0,0
1469,360816226.0,61627.0,7633366.0,171459970.0,1769697.0,242682.0,120113199.0,1353881739.0,539775263.0,2928.0,54591.0,880678.0,2564.0,486018.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.2,70.0,35.0,8.0,4.0,0,0,0,0
1471,163958167.0,12417.0,15958224.0,86105258.0,868068.0,944307.6200758681,327781.0,1805126.0,655485361.0,156.0,7137853.0,15146.0,81.0,478702.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,38.2,76.0,2.0,11.0,1.0,0,0,0,0
1472,218471293.0,16445.0,7312501.0,218599817.0,4720491.0,944307.6200758681,112637464.57127072,1161157789.8336556,881188488.0,290.0,1475.0,85667349.25558099,87876.96578631453,517594.0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,38.2,72.0,4.0,2.0,6.0,0,0,0,0
